method, weather, %inc_auc, %%inc_best_accuracy
hflip,01,0.193,-4.787
hflip,23,-1.737,5.866
hflip,45,3.823,18.924
vflip,01,4.082,-1.077
vflip,23,5.241,-8.498
vflip,45,-3.785,-13.247
histeq,01,5.031,3.261
histeq,23,-0.977,12.339
histeq,45,2.783,40.179
sharpen,01,-0.407,-4.923
sharpen,23,0.988,7.374
sharpen,45,2.277,10.296
whitebal,01,-0.397,-8.816
whitebal,23,0.8,-13.543
whitebal,45,3.681,2.35
gaussian(1050),01,-3.824,0.418
gaussian(1050),23,-4.528,18.117
gaussian(1050),45,-3.482,19.13
gaussian(15),01,-1.772,19.562
gaussian(15),23,-2.75,1.224
gaussian(15),45,-2.783,20.216
gaussian(100200),01,-0.2,14.728
gaussian(100200),23,1.848,3.605
gaussian(100200),45,-0.591,37.633
rotate(20),01,7.627,7.989
rotate(20),23,5.274,41.681
rotate(20),45,4.822,28.23
rotate(45),01,-0.798,3.557
rotate(45),23,-5.871,12.349
rotate(45),45,-5.697,19.172
rotate(5),01,-1.527,2.406
rotate(5),23,2.209,60.943
rotate(5),45,8.211,10.739
zoom(1.2),01,3.272,0.664
zoom(1.2),23,-0.83,15.67
zoom(1.2),45,2.053,2.652
zoom(2.0),01,3.441,14.469
zoom(2.0),23,-6.531,-22.871
zoom(2.0),45,3.043,0.0
zoom(0.4),01,-1.031,16.642
zoom(0.4),23,-2.59,15.289
zoom(0.4),45,0.414,34.225
brightness(-60),01,-4.472,1.325
brightness(-60),23,-0.194,17.042
brightness(-60),45,0.611,0.776
brightness(30),01,-1.594,3.164
brightness(30),23,-0.984,0.0
brightness(30),45,-0.62,-10.657
brightness(90),01,2.559,-2.989
brightness(90),23,1.796,-32.104
brightness(90),45,9.165,-24.109
contrast(0.5),01,6.939,4.905
contrast(0.5),23,-6.538,5.479
contrast(0.5),45,5.579,36.559
contrast(1.25),01,-7.839,0.0
contrast(1.25),23,-0.605,23.512
contrast(1.25),45,-1.606,-25.447
contrast(2),01,5.611,-6.217
contrast(2),23,0.384,-50.692
contrast(2),45,-3.81,-10.794
